2025-08-25 15:25:10,Abbeville,0 min
2025-08-25 15:25:10,Greenwood,13 min
2025-08-25 15:25:10,Saluda,0 min
2025-08-25 15:25:10,Rock Hill,3 min
2025-08-25 15:31:43,Greenville - Saluda Dam,63 min
2025-08-25 15:31:43,Greenville - Edgeworth,51 min
2025-08-25 15:31:43,Pickens,25 min
2025-08-25 15:31:43,Greer,37 min
2025-08-25 15:31:43,Fountain Inn,12 min
2025-08-25 15:31:43,Spartanburg - Fairforest Road,20 min
2025-08-25 15:31:43,Woodruff,36 min
2025-08-25 15:31:43,Belton,1 min
2025-08-25 15:31:43,Anderson,3 min
2025-08-25 15:31:43,Spartanburg - Southport Road,13 min
2025-08-25 15:31:43,Seneca,3 min
2025-08-25 15:31:43,Laurens,31 min
2025-08-25 15:31:43,Gaffney,16 min
2025-08-25 15:31:43,Union,12 min
2025-08-25 15:31:43,Abbeville,3 min
2025-08-25 15:31:43,Greenwood,8 min
2025-08-25 15:31:43,Saluda,0 min
2025-08-25 15:31:43,Rock Hill,3 min
2025-08-25 15:45:17,Greenville - Saluda Dam,62 min
2025-08-25 15:45:17,Greenville - Edgeworth,46 min
2025-08-25 15:45:17,Pickens,22 min
2025-08-25 15:45:17,Greer,23 min
2025-08-25 15:45:17,Fountain Inn,24 min
2025-08-25 15:45:17,Spartanburg - Fairforest Road,17 min
2025-08-25 15:45:17,Woodruff,44 min
2025-08-25 15:45:17,Belton,0 min
2025-08-25 15:45:17,Anderson,8 min
2025-08-25 15:45:17,Spartanburg - Southport Road,19 min
2025-08-25 15:45:17,Seneca,0 min
2025-08-25 15:45:17,Laurens,29 min
2025-08-25 15:45:17,Gaffney,21 min
2025-08-25 15:45:17,Union,26 min
2025-08-25 15:45:17,Abbeville,0 min
2025-08-25 15:45:17,Greenwood,8 min
2025-08-25 15:45:17,Saluda,0 min
2025-08-25 15:45:17,Rock Hill,7 min
2025-08-25 15:50:06,Greenville - Saluda Dam,64 min
2025-08-25 15:50:06,Greenville - Edgeworth,45 min
2025-08-25 15:50:06,Pickens,20 min
2025-08-25 15:50:06,Greer,17 min
2025-08-25 15:50:06,Fountain Inn,28 min
2025-08-25 15:50:06,Spartanburg - Fairforest Road,19 min
2025-08-25 15:50:06,Woodruff,45 min
2025-08-25 15:50:06,Belton,2 min
2025-08-25 15:50:06,Anderson,3 min
2025-08-25 15:50:06,Spartanburg - Southport Road,11 min
2025-08-25 15:50:06,Seneca,0 min
2025-08-25 15:50:06,Laurens,33 min
2025-08-25 15:50:06,Gaffney,23 min
2025-08-25 15:50:06,Union,31 min
2025-08-25 15:50:06,Abbeville,0 min
2025-08-25 15:50:06,Greenwood,10 min
2025-08-25 15:50:06,Saluda,0 min
2025-08-25 15:50:06,Rock Hill,9 min
2025-08-25 15:55:16,Greenville - Saluda Dam,68 min
2025-08-25 15:55:16,Greenville - Edgeworth,42 min
2025-08-25 15:55:16,Pickens,19 min
2025-08-25 15:55:16,Greer,19 min
2025-08-25 15:55:16,Fountain Inn,27 min
2025-08-25 15:55:16,Spartanburg - Fairforest Road,20 min
2025-08-25 15:55:16,Woodruff,48 min
2025-08-25 15:55:16,Belton,1 min
2025-08-25 15:55:16,Anderson,7 min
2025-08-25 15:55:16,Spartanburg - Southport Road,14 min
2025-08-25 15:55:16,Seneca,1 min
2025-08-25 15:55:16,Laurens,31 min
2025-08-25 15:55:16,Gaffney,14 min
2025-08-25 15:55:16,Union,21 min
2025-08-25 15:55:16,Abbeville,0 min
2025-08-25 15:55:16,Greenwood,7 min
2025-08-25 15:55:16,Saluda,0 min
2025-08-25 15:55:16,Rock Hill,0 min
2025-08-25 16:00:20,Greenville - Saluda Dam,65 min
2025-08-25 16:00:20,Greenville - Edgeworth,31 min
2025-08-25 16:00:20,Pickens,23 min
2025-08-25 16:00:20,Greer,22 min
2025-08-25 16:00:20,Fountain Inn,32 min
2025-08-25 16:00:20,Spartanburg - Fairforest Road,25 min
2025-08-25 16:00:20,Woodruff,53 min
2025-08-25 16:00:20,Belton,5 min
2025-08-25 16:00:20,Anderson,10 min
2025-08-25 16:00:20,Spartanburg - Southport Road,14 min
2025-08-25 16:00:20,Seneca,2 min
2025-08-25 16:00:20,Laurens,30 min
2025-08-25 16:00:20,Gaffney,11 min
2025-08-25 16:00:20,Union,11 min
2025-08-25 16:00:20,Abbeville,3 min
2025-08-25 16:00:20,Greenwood,12 min
2025-08-25 16:00:20,Saluda,0 min
2025-08-25 16:00:20,Rock Hill,2 min
2025-08-25 16:05:16,Greenville - Saluda Dam,69 min
2025-08-25 16:05:16,Greenville - Edgeworth,34 min
2025-08-25 16:05:16,Pickens,24 min
2025-08-25 16:05:16,Greer,20 min
2025-08-25 16:05:16,Fountain Inn,36 min
2025-08-25 16:05:16,Spartanburg - Fairforest Road,22 min
2025-08-25 16:05:16,Woodruff,45 min
2025-08-25 16:05:16,Belton,6 min
2025-08-25 16:05:16,Anderson,14 min
2025-08-25 16:05:16,Spartanburg - Southport Road,17 min
2025-08-25 16:05:16,Seneca,0 min
2025-08-25 16:05:16,Laurens,33 min
2025-08-25 16:05:16,Gaffney,16 min
2025-08-25 16:05:16,Union,16 min
2025-08-25 16:05:16,Abbeville,0 min
2025-08-25 16:05:16,Greenwood,15 min
2025-08-25 16:05:16,Saluda,0 min
2025-08-25 16:05:16,Rock Hill,7 min
2025-08-25 16:10:16,Greenville - Saluda Dam,73 min
2025-08-25 16:10:16,Greenville - Edgeworth,31 min
2025-08-25 16:10:16,Pickens,26 min
2025-08-25 16:10:16,Greer,22 min
2025-08-25 16:10:16,Fountain Inn,41 min
2025-08-25 16:10:16,Spartanburg - Fairforest Road,24 min
2025-08-25 16:10:16,Woodruff,50 min
2025-08-25 16:10:16,Belton,2 min
2025-08-25 16:10:16,Anderson,14 min
2025-08-25 16:10:16,Spartanburg - Southport Road,15 min
2025-08-25 16:10:16,Seneca,0 min
2025-08-25 16:10:16,Laurens,21 min
2025-08-25 16:10:16,Gaffney,6 min
2025-08-25 16:10:16,Union,21 min
2025-08-25 16:10:16,Abbeville,3 min
2025-08-25 16:10:16,Greenwood,14 min
2025-08-25 16:10:16,Saluda,0 min
2025-08-25 16:10:16,Rock Hill,3 min
2025-08-25 16:15:17,Greenville - Saluda Dam,77 min
2025-08-25 16:15:17,Greenville - Edgeworth,34 min
2025-08-25 16:15:17,Pickens,31 min
2025-08-25 16:15:17,Greer,25 min
2025-08-25 16:15:17,Fountain Inn,44 min
2025-08-25 16:15:17,Spartanburg - Fairforest Road,25 min
2025-08-25 16:15:17,Woodruff,46 min
2025-08-25 16:15:17,Belton,7 min
2025-08-25 16:15:17,Anderson,19 min
2025-08-25 16:15:17,Spartanburg - Southport Road,20 min
2025-08-25 16:15:17,Seneca,1 min
2025-08-25 16:15:17,Laurens,26 min
2025-08-25 16:15:17,Gaffney,11 min
2025-08-25 16:15:17,Union,26 min
2025-08-25 16:15:17,Abbeville,7 min
2025-08-25 16:15:17,Greenwood,17 min
2025-08-25 16:15:17,Saluda,0 min
2025-08-25 16:15:17,Rock Hill,6 min
2025-08-25 16:20:20,Greenville - Saluda Dam,78 min
2025-08-25 16:20:20,Greenville - Edgeworth,35 min
2025-08-25 16:20:20,Pickens,32 min
2025-08-25 16:20:20,Greer,29 min
2025-08-25 16:20:20,Fountain Inn,28 min
2025-08-25 16:20:20,Spartanburg - Fairforest Road,0 min
2025-08-25 16:20:20,Woodruff,51 min
2025-08-25 16:20:20,Belton,13 min
2025-08-25 16:20:20,Anderson,18 min
2025-08-25 16:20:20,Spartanburg - Southport Road,0 min
2025-08-25 16:20:20,Seneca,1 min
2025-08-25 16:20:20,Laurens,31 min
2025-08-25 16:20:20,Gaffney,16 min
2025-08-25 16:20:20,Union,31 min
2025-08-25 16:20:20,Abbeville,12 min
2025-08-25 16:20:20,Greenwood,21 min
2025-08-25 16:20:20,Saluda,0 min
2025-08-25 16:20:20,Rock Hill,10 min
2025-08-25 16:25:16,Greenville - Saluda Dam,72 min
2025-08-25 16:25:16,Greenville - Edgeworth,40 min
2025-08-25 16:25:16,Pickens,33 min
2025-08-25 16:25:16,Greer,34 min
2025-08-25 16:25:16,Fountain Inn,0 min
2025-08-25 16:25:16,Spartanburg - Fairforest Road,0 min
2025-08-25 16:25:16,Woodruff,56 min
2025-08-25 16:25:16,Belton,17 min
2025-08-25 16:25:16,Anderson,16 min
2025-08-25 16:25:16,Spartanburg - Southport Road,0 min
2025-08-25 16:25:16,Seneca,0 min
2025-08-25 16:25:16,Laurens,0 min
2025-08-25 16:25:16,Gaffney,19 min
2025-08-25 16:25:16,Union,36 min
2025-08-25 16:25:16,Abbeville,13 min
2025-08-25 16:25:16,Greenwood,17 min
2025-08-25 16:25:16,Saluda,0 min
2025-08-25 16:25:16,Rock Hill,9 min
2025-08-25 16:30:06,Greenville - Saluda Dam,77 min
2025-08-25 16:30:06,Greenville - Edgeworth,43 min
2025-08-25 16:30:06,Pickens,0 min
2025-08-25 16:30:06,Greer,27 min
2025-08-25 16:30:06,Fountain Inn,0 min
2025-08-25 16:30:06,Spartanburg - Fairforest Road,0 min
2025-08-25 16:30:06,Woodruff,61 min
2025-08-25 16:30:06,Belton,22 min
2025-08-25 16:30:06,Anderson,0 min
2025-08-25 16:30:06,Spartanburg - Southport Road,0 min
2025-08-25 16:30:06,Seneca,0 min
2025-08-25 16:30:06,Laurens,0 min
2025-08-25 16:30:06,Gaffney,0 min
2025-08-25 16:30:06,Union,41 min
2025-08-25 16:30:06,Abbeville,18 min
2025-08-25 16:30:06,Greenwood,22 min
2025-08-25 16:30:06,Saluda,0 min
2025-08-25 16:30:06,Rock Hill,2 min
2025-08-25 16:35:16,Greenville - Saluda Dam,49 min
2025-08-25 16:35:16,Greenville - Edgeworth,48 min
2025-08-25 16:35:16,Pickens,0 min
2025-08-25 16:35:16,Greer,29 min
